手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,分數,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
koobee S16,2800,,2019/05,13.0,Helio A22,,3 GB,32 GB,microSD,128 GB,3400 mAh,6.1 inch,1560x720 pixels,282 ppi,IPS,1300 萬畫素,2.0,,,Yes,https://www.sogi.com.tw/products/koobee_s16/14787
vivo V15 Pro,7800,4900.0,2019/05,13.0,Snapdragon 675,34.5,8 GB,128 GB,microSD,256 GB,3700 mAh,6.39 inch,2340x1080 pixels,403 ppi,Super AMOLED,1200 萬畫素,1.8,185 g,,Yes,https://www.sogi.com.tw/products/vivo_v15_pro/14581
ASUS ZenFone Max M2 ZB633KL 64GB,5200,,2019/05,13.0,Snapdragon 632,,4 GB,64 GB,microSD,2 TB,4000 mAh,6.3 inch,1520x720 pixels,267 ppi,IPS,1300 萬畫素,1.8,160 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_max_m2/14836
koobee K20,6990,,2019/05,13.0,MT6762,,4 GB,64 GB,microSD,128 GB,4050 mAh,6.2 inch,1520x720 pixels,271 ppi,IPS,1300 萬畫素,2.0,165 g,,Yes,https://www.sogi.com.tw/products/koobee_k20/14786
ASUS ZenFone Live (L2) ZA550KL,2400,,2019/05,13.0,Snapdragon 425,,2 GB,16 GB,microSD,2 TB,3000 mAh,5.5 inch,1440x720 pixels,293 ppi,IPS,800 萬畫素,2.0,140 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_live_l2/14752
小米 紅米 Note 7 128GB,5990,5000.0,2019/04,14.0,Snapdragon 660,29.3,4 GB,128 GB,microSD,256 GB,4000 mAh,6.3 inch,2340x1080 pixels,409 ppi,IPS,4800 萬畫素,1.8,186 g,,Yes,https://www.sogi.com.tw/products/xiaomi_redmi_note_7/14482
OPPO AX5s (4GB/64GB),4400,,2019/04,14.0,Helio P35,,4 GB,64 GB,microSD,256 GB,4230 mAh,6.2 inch,1520x720 pixels,271 ppi,IPS,1300 萬畫素,2.2,170 g,,Yes,https://www.sogi.com.tw/products/oppo_ax5s/14729
小米 紅米 Note 7 64GB,5350,4200.0,2019/04,14.0,Snapdragon 660,29.3,4 GB,64 GB,microSD,256 GB,4000 mAh,6.3 inch,2340x1080 pixels,409 ppi,IPS,4800 萬畫素,1.8,186 g,,Yes,https://www.sogi.com.tw/products/xiaomi_redmi_note_7/14483
HUAWEI nova 4e,6400,,2019/04,14.0,Kirin 710,,6 GB,128 GB,microSD,512 GB,3340 mAh,6.15 inch,2312x1080 pixels,415 ppi,IPS,2400 萬畫素,1.8,159 g,,Yes,https://www.sogi.com.tw/products/huawei_nova_4e/14654
SAMSUNG Galaxy A20,3790,4000.0,2019/04,14.0,Exynos 7884,,3 GB,32 GB,microSD,512 GB,4000 mAh,6.4 inch,1560x720 pixels,268 ppi,Super AMOLED,1300 萬畫素,1.9,169 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_a20/14683
SUGAR Y8 MAX Pro,2400,,2019/03,15.0,Snapdragon 425,,3 GB,32 GB,microSD,128 GB,4000 mAh,5.45 inch,1440x720 pixels,295 ppi,IPS,800 萬畫素,2.0,170 g,,Yes,https://www.sogi.com.tw/products/sugar_y8_max_pro/14621
Sony Xperia L3,3900,,2019/03,15.0,MT6762,,3 GB,32 GB,microSD,512 GB,3300 mAh,5.7 inch,1440x720 pixels,282 ppi,TFT,1300 萬畫素,2.2,156 g,,Yes,https://www.sogi.com.tw/products/sony_xperia_l3/14609
SUGAR C13,2800,,2019/02,16.0,Snapdragon 450,,3 GB,32 GB,microSD,128 GB,4000 mAh,5.93 inch,1512x720 pixels,282 ppi,IPS,1200 萬畫素,2.0,158 g,,Yes,https://www.sogi.com.tw/products/sugar_c13/14523
ASUS ZenFone Max Pro ZB602KL 128GB,5800,,2019/02,16.0,Snapdragon 636,22.9,4 GB,128 GB,microSD,2 TB,5000 mAh,6 inch,2160x1080 pixels,402 ppi,IPS,1600 萬畫素,2.0,180 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_max_pro_m1/14542
vivo Y95,4400,3900.0,2019/01,17.0,Snapdragon 439,14.8,4 GB,64 GB,microSD,256 GB,4030 mAh,6.22 inch,1520x720 pixels,270 ppi,TFT,1300 萬畫素,2.2,163.5 g,,Yes,https://www.sogi.com.tw/products/vivo_y95/14369
HTC Desire 12s 64GB,4100,,2019/01,17.0,Snapdragon 435,,4 GB,64 GB,microSD,2 TB,3075 mAh,5.7 inch,1440x720 pixels,282 ppi,TFT,1300 萬畫素,2.0,150 g,,Yes,https://www.sogi.com.tw/products/htc_desire_12s/14424
SUGAR Y16,4490,,2019/01,17.0,MT6739WW,,3 GB,32 GB,microSD,128 GB,2900 mAh,5.45 inch,1440x720 pixels,295 ppi,IPS,1300 萬畫素,2.0,150 g,,Yes,https://www.sogi.com.tw/products/sugar_y16/14457
SAMSUNG Galaxy A9 (2018),7500,6645.0,2018/12,18.0,Snapdragon 660,29.3,6 GB,128 GB,microSD,512 GB,3800 mAh,6.3 inch,2220x1080 pixels,392 ppi,Super AMOLED,2400 萬畫素,1.7,183 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_a9_2018/14294
SUGAR S20,4400,,2018/12,18.0,Snapdragon 450,,4 GB,64 GB,microSD,128 GB,3400 mAh,6.18 inch,2246x1080 pixels,403 ppi,,1200 萬畫素,2.0,159 g,,Yes,https://www.sogi.com.tw/products/sugar_s20/14012
Nokia 8.1,6700,,2018/12,18.0,Snapdragon 710,35.7,4 GB,64 GB,microSD,400 GB,3500 mAh,6.18 inch,2246x1080 pixels,403 ppi,IPS,1200 萬畫素,1.8,180 g,,Yes,https://www.sogi.com.tw/products/nokia_8_1/14366
HTC U12 life 128GB,5390,,2018/12,18.0,Snapdragon 636,22.9,6 GB,128 GB,microSD,,3600 mAh,6 inch,2160x1080 pixels,402 ppi,,1600 萬畫素,2.0,175 g,,Yes,https://www.sogi.com.tw/products/htc_u12_life/14112
Nokia 3.1 Plus,3100,,2018/12,18.0,Helio P22,,3 GB,32 GB,microSD,400 GB,3500 mAh,6 inch,1440x720 pixels,268 ppi,,1300 萬畫素,2.0,180 g,,Yes,https://www.sogi.com.tw/products/nokia_3_1_plus/14293
vivo V11,5200,,2018/11,19.0,Helio P60,,6 GB,128 GB,microSD,256 GB,3315 mAh,6.3 inch,2280x1080 pixels,400 ppi,LTPS,1600 萬畫素,2.0,163.7 g,,Yes,https://www.sogi.com.tw/products/vivo_v11/14145
LG K11+,4999,,2018/11,19.0,MT6750V,,3 GB,32 GB,microSD,2 TB,3000 mAh,5.3 inch,1280x720 pixels,277 ppi,IPS,1300 萬畫素,,163 g,,Yes,https://www.sogi.com.tw/products/lg_k11_plus/14270
OPPO R17,7500,6094.0,2018/11,19.0,Snapdragon 670,,6 GB,128 GB,,,3500 mAh,6.4 inch,2340x1080 pixels,403 ppi,AMOLED,1600 萬畫素,1.7,182 g,,Yes,https://www.sogi.com.tw/products/oppo_r17/14076
SAMSUNG Galaxy A7 (2018),6500,5200.0,2018/10,20.0,Exynos 7885,,4 GB,128 GB,microSD,512 GB,3300 mAh,6 inch,2220x1080 pixels,411 ppi,Super AMOLED,2400 萬畫素,1.7,168 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_a7_2018/14210
koobee K10,6990,,2018/10,20.0,MT6750,,3 GB,64 GB,microSD,128 GB,3300 mAh,6.2 inch,1512x720 pixels,270 ppi,,1300 萬畫素,2.2,177.7 g,,Yes,https://www.sogi.com.tw/products/koobee_k10/14078
koobee F2 Plus,4990,,2018/10,20.0,Helio P23,,4 GB,128 GB,microSD,256 GB,3300 mAh,6.2 inch,2246x1080 pixels,402 ppi,,1600 萬畫素,2.2,168 g,,,https://www.sogi.com.tw/products/koobee_f2_plus/13980
HUAWEI Y9 2019,4820,3950.0,2018/10,20.0,Kirin 710,,4 GB,64 GB,microSD,256 GB,4000 mAh,6.5 inch,2340x1080 pixels,396 ppi,,1300 萬畫素,1.8,173 g,,Yes,https://www.sogi.com.tw/products/huawei_y9_2019/14260
HTC U12 life 64GB,4500,,2018/10,20.0,Snapdragon 636,22.9,4 GB,64 GB,microSD,,3600 mAh,6 inch,2160x1080 pixels,402 ppi,,1600 萬畫素,2.0,175 g,,Yes,https://www.sogi.com.tw/products/htc_u12_life/14111
LG K9,2490,,2018/10,20.0,Snapdragon 210,,2 GB,16 GB,microSD,32 GB,2500 mAh,5 inch,1280x720 pixels,294 ppi,,800 萬畫素,,135 g,,Yes,https://www.sogi.com.tw/products/lg_k9/14268
Nokia 5.1 Plus,4500,,2018/09,21.0,Helio P60,,3 GB,32 GB,microSD,400 GB,3060 mAh,5.8 inch,1520x720 pixels,290 ppi,IPS,1300 萬畫素,2.0,165 g,,Yes,https://www.sogi.com.tw/products/nokia_5_1_plus/14080
SUGAR P1,2570,,2018/09,21.0,MT6739WW,,3 GB,32 GB,microSD,128 GB,3000 mAh,5.7 inch,1440x720 pixels,282 ppi,,1300 萬畫素,2.0,146 g,,Yes,https://www.sogi.com.tw/products/sugar_p1/14081
SUGAR S20s,3100,,2018/09,21.0,Snapdragon 450,,3 GB,32 GB,microSD,128 GB,3400 mAh,6.18 inch,2246x1080 pixels,403 ppi,IPS,1200 萬畫素,2.0,159 g,,Yes,https://www.sogi.com.tw/products/sugar_s20s/14086
koobee F2,4990,,2018/08,22.0,MT6763,,4 GB,64 GB,microSD,256 GB,3300 mAh,6 inch,2160x1080 pixels,402 ppi,,1600 萬畫素,2.2,196 g,,Yes,https://www.sogi.com.tw/products/koobee_f2/13979
LG Q7+,4890,,2018/08,22.0,MT6750S,,4 GB,64 GB,microSD,2 TB,3000 mAh,5.5 inch,2160x1080 pixels,439 ppi,IPS,1600 萬畫素,2.2,145 g,IP68,Yes,https://www.sogi.com.tw/products/lg_q7_plus/14380
Nokia 6.1 Plus,6500,,2018/08,22.0,Snapdragon 636,22.9,4 GB,64 GB,microSD,400 GB,3060 mAh,5.8 inch,2280x1080 pixels,435 ppi,,1600 萬畫素,2.0,151 g,,Yes,https://www.sogi.com.tw/products/nokia_6_1_plus/14026
小米 小米 Max 3,6900,,2018/08,22.0,Snapdragon 636,22.9,4 GB,64 GB,microSD,256 GB,5500 mAh,6.9 inch,2160x1080 pixels,350 ppi,,1200 萬畫素,1.9,221 g,,Yes,https://www.sogi.com.tw/products/xiaomi_max_3/14033
SUGAR C12,3299,,2018/07,23.0,MT6739WW,,3 GB,32 GB,microSD,128 GB,3900 mAh,6 inch,1440x720 pixels,268 ppi,LCD,1300 萬畫素,2.0,157 g,,Yes,https://www.sogi.com.tw/products/sugar_c12/14000
ASUS ZenFone Max Pro ZB602KL 32GB,3500,,2018/07,23.0,Snapdragon 636,22.9,3 GB,32 GB,microSD,2 TB,5000 mAh,6 inch,2160x1080 pixels,402 ppi,IPS,1600 萬畫素,2.0,180 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_max_pro_m1/13863
SUGAR Y12s,2000,,2018/07,23.0,MT6739WW,,1 GB,16 GB,microSD,128 GB,2500 mAh,5.45 inch,960x480 pixels,197 ppi,IPS,800 萬畫素,,157 g,,Yes,https://www.sogi.com.tw/products/sugar_y12s/13966
Nokia 8110 4G,1900,,2018/07,23.0,Snapdragon 205,,512 MB,4 GB,microSD,64 GB,1500 mAh,2.4 inch,320x240 pixels,167 ppi,,200 萬畫素,,117 g,IP52,Yes,https://www.sogi.com.tw/products/nokia_8110/13757
ASUS ZenFone Max (M1) ZB555KL 32GB,2880,,2018/06,24.0,Snapdragon 425,,2 GB,32 GB,microSD,256 GB,4000 mAh,5.5 inch,1440x720 pixels,293 ppi,,1300 萬畫素,2.0,150 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_max_m1/13776
koobee S12,4990,,2018/06,24.0,MT6750,,4 GB,32 GB,microSD,128 GB,3000 mAh,5.7 inch,1440x720 pixels,282 ppi,,1300 萬畫素,2.2,171.1 g,,Yes,https://www.sogi.com.tw/products/koobee_s12/13917
HUAWEI Y6 2018,2700,2500.0,2018/06,24.0,Snapdragon 425,,2 GB,16 GB,microSD,256 GB,3000 mAh,5.7 inch,1440x720 pixels,282 ppi,IPS,1300 萬畫素,,150 g,,Yes,https://www.sogi.com.tw/products/huawei_y6_2018/13894
HTC Desire 12+,3200,2990.0,2018/06,24.0,Snapdragon 450,,3 GB,32 GB,microSD,2 TB,2965 mAh,6 inch,1440x720 pixels,268 ppi,IPS,1300 萬畫素,2.2,157.5 g,,Yes,https://www.sogi.com.tw/products/htc_desire_12_plus/13805
HUAWEI Y7 Prime 2018,3170,,2018/06,24.0,Snapdragon 430,14.4,3 GB,32 GB,microSD,256 GB,3000 mAh,5.99 inch,1440x720 pixels,269 ppi,IPS,1300 萬畫素,,155 g,,Yes,https://www.sogi.com.tw/products/huawei_y7_prime_2018/13895
OPPO A3,4900,,2018/06,24.0,Helio P60,,4 GB,128 GB,microSD,256 GB,3400 mAh,6.2 inch,2280x1080 pixels,407 ppi,LTPS,1600 萬畫素,1.8,159 g,,Yes,https://www.sogi.com.tw/products/oppo_a3/13860
HUAWEI Y7s,3300,,2018/05,25.0,Kirin 659,,3 GB,32 GB,microSD,256 GB,3000 mAh,5.65 inch,2160x1080 pixels,427 ppi,LCD,1300 萬畫素,2.2,143 g,,Yes,https://www.sogi.com.tw/products/huawei_y7s/13847
SUGAR Y8 MAX,2250,,2018/02,28.0,Snapdragon 425,,2 GB,16 GB,microSD,128 GB,4000 mAh,5.45 inch,1440x720 pixels,295 ppi,,800 萬畫素,2.0,170 g,,Yes,https://www.sogi.com.tw/products/sugar_y8_max/13716
SUGAR S11,4150,3900.0,2018/02,28.0,Snapdragon 450,,4 GB,64 GB,microSD,128 GB,3000 mAh,6 inch,2160x1080 pixels,402 ppi,IPS,1600 萬畫素,1.7,187 g,,Yes,https://www.sogi.com.tw/products/sugar_s11/13711
SUGAR Y12,2800,,2018/01,29.0,Snapdragon 425,,3 GB,32 GB,microSD,128 GB,3070 mAh,5.45 inch,1440x720 pixels,295 ppi,,800 萬畫素,2.0,158 g,,Yes,https://www.sogi.com.tw/products/sugar_y12/13689
OPPO R11s,6990,4400.0,2017/12,30.0,Snapdragon 660,29.3,4 GB,64 GB,microSD,256 GB,3205 mAh,6.01 inch,2160x1080 pixels,402 ppi,AMOLED,2000 萬畫素,1.7,153 g,,Yes,https://www.sogi.com.tw/products/oppo_r11s/13597
SUGAR C11,2990,,2017/11,31.0,Snapdragon 430,14.4,4 GB,64 GB,microSD,128 GB,3000 mAh,5.7 inch,1440x720 pixels,282 ppi,,1600 萬畫素,2.0,160 g,,Yes,https://www.sogi.com.tw/products/sugar_c11/13582
SUGAR C11s,2899,2100.0,2017/11,31.0,Snapdragon 430,14.4,3 GB,32 GB,microSD,128 GB,3000 mAh,5.7 inch,1440x720 pixels,282 ppi,,1300 萬畫素,2.0,160 g,,Yes,https://www.sogi.com.tw/products/sugar_c11s/13518
Nokia 3310 2017 3G,1100,,2017/11,31.0,,,128 MB,64 MB,microSD,32 GB,1200 mAh,2.4 inch,320x240 pixels,167 ppi,,200 萬畫素,,84.9 g,,Yes,https://www.sogi.com.tw/products/nokia_3310_2017_3g/13531
HUAWEI nova 2i,4299,,2017/11,31.0,Kirin 659,,4 GB,64 GB,microSD,256 GB,3340 mAh,5.9 inch,2160x1080 pixels,409 ppi,IPS,1600 萬畫素,2.2,164 g,,Yes,https://www.sogi.com.tw/products/huawei_nova_2i/13528
LG Q6,3800,,2017/10,32.0,Snapdragon 435,,3 GB,32 GB,microSD,2 TB,3000 mAh,5.5 inch,2160x1080 pixels,439 ppi,IPS,1300 萬畫素,2.2,160 g,,Yes,https://www.sogi.com.tw/products/lg_q6/13387
小米 小米 MIX 2 64GB,7990,,2017/10,32.0,Snapdragon 835,44.7,6 GB,64 GB,,,3400 mAh,5.99 inch,2160x1080 pixels,403 ppi,,1200 萬畫素,2.0,185 g,,,https://www.sogi.com.tw/products/xiaomi_mix_2/13493
